Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
PLP1 CDS;0,809928224;0,131209292;0,451652685;PLP1;YDR183W
NUP159 CDS;0,809928224;-0,110520283;0,451686042;NUP159;YIL115C
SLN1 CDS;0,809928224;-0,11504592;0,451748447;SLN1;YIL147C
SEC10 CDS;0,810251234;-0,125157273;0,452065062;SEC10;YLR166C
PEF1 CDS;0,810309562;0,115282257;0,452234067;PEF1;YGR058W
hypothetical protein CDS;0,810562889;0,114932956;0,452838933;;YLL054C
MTC2 CDS;0,810562889;0,112347819;0,452834572;MTC2;YKL098W
PMR1 CDS;0,810562889;-0,110307729;0,452641199;PMR1;YGL167C
SSP120 CDS;0,810562889;-0,114615564;0,452921466;SSP120;YLR250W
hypothetical protein CDS;0,810835508;0,127238266;0,455122053;;YOR152C
YEH1 CDS;0,810835508;0,122964892;0,454395247;YEH1;YLL012W
YMR1 CDS;0,810835508;0,120022031;0,454665909;YMR1;YJR110W
hypothetical protein CDS;0,810835508;0,119371911;0,454977866;;YDL177C
RBS1 CDS;0,810835508;0,114321254;0,453762041;RBS1;YDL189W
FOL1 CDS;0,810835508;0,110399772;0,454631537;FOL1;YNL256W
COG6 CDS;0,810835508;-0,110292015;0,454938391;COG6;YNL041C
YPK9 CDS;0,810835508;-0,112851661;0,454532105;YPK9;YOR291W
CYS4 CDS;0,810835508;-0,113874205;0,454841199;CYS4;YGR155W
SLD5 CDS;0,810835508;-0,12558059;0,455031133;SLD5;YDR489W
PAB1 CDS;0,810835508;-0,130173328;0,455086478;PAB1;YER165W
ERG6 CDS;0,810835508;-0,146929972;0,453794824;ERG6;YML008C
KRS1 CDS;0,810835508;-0,15073575;0,454870111;KRS1;YDR037W
THI80 CDS;0,810835508;-0,158401575;0,454191775;THI80;YOR143C
hypothetical protein CDS;0,810950787;0,126679733;0,45580897;;YAR066W
MSO1 CDS;0,810950787;0,111968138;0,456279316;MSO1;YNR049C
SHS1 CDS;0,810950787;0,110725887;0,456108669;SHS1;YDL225W
hypothetical protein CDS;0,810950787;-0,113964065;0,455617352;;YPL107W
FAA2 CDS;0,810950787;-0,11545095;0,456199735;FAA2;YER015W
CMK1 CDS;0,810950787;-0,11696694;0,455346289;CMK1;YFR014C
NGR1 CDS;0,810950787;-0,149182634;0,455506951;NGR1;YBR212W
SSP1 CDS;0,810950787;-0,152844008;0,456248844;SSP1;YHR184W
SMY1 CDS;0,81110634;-0,118671025;0,456503433;SMY1;YKL079W
RAD57 CDS;0,81154113;-0,111664895;0,456884809;RAD57;YDR004W
hypothetical protein CDS;0,811635614;-0,170890262;0,457074687;;YPL038W-A
hypothetical protein CDS;0,811662324;0,187274898;0,457226418;;YBR056W-A
NAM7 CDS;0,811915905;-0,110342908;0,45764273;NAM7;YMR080C
KIN3 CDS;0,811981582;0,132810288;0,458045238;KIN3;YAR018C
SAP185 CDS;0,811981582;0,11708649;0,45808998;SAP185;YJL098W
NAF1 CDS;0,811981582;-0,115115924;0,457817985;NAF1;YNL124W
BUD27 CDS;0,812110754;0,127436615;0,459114161;BUD27;YFL023W
hypothetical protein CDS;0,812110754;0,125508824;0,459120209;;YOL163W
AIP1 CDS;0,812110754;-0,110254076;0,458393271;AIP1;YMR092C
RGP1 CDS;0,812110754;-0,111144127;0,458629295;RGP1;YDR137W
OPY2 CDS;0,812110754;-0,114634732;0,458668437;OPY2;YPR075C
MRN1 CDS;0,812110754;-0,115669366;0,458741836;MRN1;YPL184C
hypothetical protein CDS;0,812110754;-0,127450543;0,459039177;;YOL164W-A
hypothetical protein CDS;0,812386253;0,146844438;0,460893321;;YCL001W-B
DIG1 CDS;0,812386253;0,124758677;0,460636678;DIG1;YPL049C
COG8 CDS;0,812386253;0,12219906;0,46009248;COG8;YML071C
CIR2 CDS;0,812386253;0,113048999;0,460347327;CIR2;YOR356W
FMP25 CDS;0,812386253;0,108155121;0,460222391;FMP25;YLR077W
SCL1 CDS;0,812386253;-0,111697837;0,460983658;SCL1;YGL011C
RAD53 CDS;0,812386253;-0,115752806;0,460553312;RAD53;YPL153C
SHO1 CDS;0,812386253;-0,123882567;0,460984042;SHO1;YER118C
RPA135 CDS;0,812386253;-0,130306727;0,460446377;RPA135;YPR010C
REX4 CDS;0,812386253;-0,132663389;0,461054509;REX4;YOL080C
MTM1 CDS;0,812386253;-0,135779084;0,46001016;MTM1;YGR257C
COQ2 CDS;0,812386253;-0,158834153;0,460549841;COQ2;YNR041C
hypothetical protein CDS;0,812386253;-0,194396154;0,460377204;;YLR012C
TRM13 CDS;0,813011006;-0,130979996;0,461545992;TRM13;YOL125W
MOT1 CDS;0,813045895;0,12001497;0,461702721;MOT1;YPL082C
NUP85 CDS;0,813379297;-0,108943205;0,462029028;NUP85;YJR042W
MHO1 CDS;0,813390143;0,143278409;0,462708026;MHO1;YJR008W
MRS2 CDS;0,813390143;0,12775087;0,462389318;MRS2;YOR334W
NAM8 CDS;0,813390143;0,126885448;0,462796269;NAM8;YHR086W
KRE33 CDS;0,813390143;0,11525164;0,463018738;KRE33;YNL132W
ERG9 CDS;0,813390143;-0,110523836;0,462884272;ERG9;YHR190W
MPM1 CDS;0,813390143;-0,120710074;0,463028738;MPM1;YJL066C
PML1 CDS;0,813390143;-0,12964639;0,463131033;PML1;YLR016C
SHB17 CDS;0,813390143;-0,136877087;0,462895579;SHB17;YKR043C
RKM1 CDS;0,813583284;-0,130173137;0,463378017;RKM1;YPL208W
RTT101 CDS;0,81360109;0,121789462;0,463525175;RTT101;YJL047C
DAL4 CDS;0,814252247;-0,126407485;0,464033278;DAL4;YIR028W
AIM26 CDS;0,815791146;-0,159068259;0,465047664;AIM26;YKL037W
EXG1 CDS;0,815847565;0,154861331;0,465354615;EXG1;YLR300W
HEM1 CDS;0,815847565;-0,109486129;0,465276593;HEM1;YDR232W
SCY1 CDS;0,816080868;0,113970285;0,466037424;SCY1;YGL083W
CAB4 CDS;0,816080868;0,109083671;0,465757765;CAB4;YGR277C
DBP2 CDS;0,816080868;-0,159473412;0,465851284;DBP2;YNL112W
hypothetical protein CDS;0,816080868;-0,172417876;0,465900601;;YKL106C-A
CDC3 CDS;0,816479258;0,125615502;0,46690325;CDC3;YLR314C
NUD1 CDS;0,816479258;0,122614619;0,467153862;NUD1;YOR373W
BGL2 CDS;0,816479258;-0,109880761;0,467118752;BGL2;YGR282C
VMA3 CDS;0,816479258;-0,11222337;0,466855146;VMA3;YEL027W
CNS1 CDS;0,816479258;-0,121215494;0,466580442;CNS1;YBR155W
RRP42 CDS;0,816479258;-0,122336581;0,467227437;RRP42;YDL111C
hypothetical protein CDS;0,816479258;-0,143340587;0,46706642;;YGR053C
RAD28 CDS;0,81683423;-0,120253394;0,467568129;RAD28;YDR030C
BUD32 CDS;0,816988969;0,10821402;0,46779429;BUD32;YGR262C
SNX4 CDS;0,817380625;0,13001734;0,468156198;SNX4;YJL036W
RIX7 CDS;0,817466017;0,110282474;0,468342773;RIX7;YLL034C
MSF1 CDS;0,817493376;-0,164146939;0,46849612;MSF1;YPR047W
RRN10 CDS;0,817862325;0,114915533;0,468845294;RRN10;YBL025W
hypothetical protein CDS;0,818257802;-0,144098318;0,469209804;;YDL199C
hypothetical protein CDS;0,81906756;0,173621284;0,470363823;;YGL260W
RIM21 CDS;0,81906756;0,107267896;0,470116274;RIM21;YNL294C
RIB4 CDS;0,81906756;-0,117415429;0,470167136;RIB4;YOL143C
KSH1 CDS;0,81906756;-0,131168595;0,469871044;KSH1;YNL024C-A
AIM33 CDS;0,81906756;-0,143574179;0,470261587;AIM33;YML087C
MSC2 CDS;0,819165061;0,128602842;0,471236368;MSC2;YDR205W
PAU2 CDS;0,819165061;0,125349537;0,470653148;PAU2;YEL049W
KRI1 CDS;0,819165061;0,119492096;0,470875453;KRI1;YNL308C
DAM1 CDS;0,819165061;0,119316707;0,47121764;DAM1;YGR113W
IMP3 CDS;0,819165061;0,113583688;0,471091712;IMP3;YHR148W
SIR4 CDS;0,819165061;-0,124125416;0,471385486;SIR4;YDR227W
RLP24 CDS;0,819165061;-0,150038963;0,471248034;RLP24;YLR009W
MSE1 CDS;0,819523584;-0,163394838;0,47172981;MSE1;YOL033W
DNF3 CDS;0,819557624;-0,113549129;0,471898738;DNF3;YMR162C
CIR1 CDS;0,819557624;-0,129099174;0,472025442;CIR1;YGR207C
GND1 CDS;0,819836908;0,15097419;0,472324362;GND1;YHR183W
POF1 CDS;0,820466455;0,134931053;0,472963401;POF1;YCL047C
PAR32 CDS;0,820466455;0,105048401;0,472940022;PAR32;YDL173W
SVP26 CDS;0,820698048;0,120546499;0,473358491;SVP26;YHR181W
PET123 CDS;0,820698048;-0,114015931;0,473373327;PET123;YOR158W
PEX29 CDS;0,8213847;0,121766985;0,474004413;PEX29;YDR479C
RNY1 CDS;0,8213847;-0,130384612;0,474046037;RNY1;YPL123C
hypothetical protein CDS;0,821595622;0,137262913;0,474306129;;YMR090W
SUR1 CDS;0,821816529;-0,111413449;0,474572057;SUR1;YPL057C
ALG7 CDS;0,822232215;0,113225059;0,475102489;ALG7;YBR243C
DFG5 CDS;0,822232215;-0,105847693;0,475227511;DFG5;YMR238W
hypothetical protein CDS;0,822232215;-0,116287491;0,474977994;;YPL260W
hypothetical protein CDS;0,823463823;0,143566636;0,476078024;;YJL113W
SCP160 CDS;0,823645357;0,110089626;0,476680753;SCP160;YJL080C
TOS2 CDS;0,823645357;-0,105480582;0,476781434;TOS2;YGR221C
MSC6 CDS;0,823645357;-0,113514115;0,476876514;MSC6;YOR354C
IML1 CDS;0,823645357;-0,119633998;0,476592101;IML1;YJR138W
REV3 CDS;0,823645357;-0,129863101;0,476866541;REV3;YPL167C
YPT35 CDS;0,823767046;0,134122039;0,477085698;YPT35;YHR105W
ATG29 CDS;0,824228411;0,143123534;0,477537338;ATG29;YPL166W
AFT2 CDS;0,824228411;-0,107739607;0,477778345;AFT2;YPL202C
OST3 CDS;0,824228411;-0,117932139;0,47790812;OST3;YOR085W
MRM1 CDS;0,824228411;-0,121543728;0,477638708;MRM1;YOR201C
hypothetical protein CDS;0,824584416;-0,128542432;0,478253407;;YLR446W
DIS3 CDS;0,824641706;0,108952248;0,47842551;DIS3;YOL021C
UBC1 CDS;0,825113687;0,108413109;0,47883829;UBC1;YDR177W
hypothetical protein CDS;0,825400697;0,126289373;0,47925055;;YLR177W
IFM1 CDS;0,825400697;0,111514828;0,47942186;IFM1;YOL023W
HCH1 CDS;0,825400697;-0,134936936;0,479343472;HCH1;YNL281W
hypothetical protein CDS;0,825874431;-0,110163195;0,47989316;;YNL208W
VMA9 CDS;0,825874431;-0,139369069;0,479975187;VMA9;YCL005W-A
EAF6 CDS;0,826327686;-0,107323125;0,480377766;EAF6;YJR082C
NYV1 CDS;0,826358531;0,107986093;0,480751585;NYV1;YLR093C
RNA15 CDS;0,826358531;0,106628942;0,480684517;RNA15;YGL044C
MRPS18 CDS;0,826358531;-0,126065617;0,48081319;MRPS18;YNL306W
MNT4 CDS;0,826369945;0,113319523;0,481280863;MNT4;YNR059W
ASP3-2 CDS;0,826369945;0,111275157;0,482072329;ASP3-2;YLR157C
HIS1 CDS;0,826369945;0,110320536;0,481715575;HIS1;YER055C
SUP35 CDS;0,826369945;-0,102879321;0,482001863;SUP35;YDR172W
DPL1 CDS;0,826369945;-0,111342525;0,481007851;DPL1;YDR294C
ABF2 CDS;0,826369945;-0,112909338;0,481658033;ABF2;YMR072W
PUS5 CDS;0,826369945;-0,113327973;0,481244939;PUS5;YLR165C
HSC82 CDS;0,826369945;-0,121378323;0,481903709;HSC82;YMR186W
hypothetical protein CDS;0,826369945;-0,12853109;0,481982692;;YKR018C
VPS73 CDS;0,826784481;0,139930247;0,482779534;VPS73;YGL104C
URA8 CDS;0,826784481;0,130712604;0,482932538;URA8;YJR103W
PAL1 CDS;0,826784481;0,112093607;0,482869748;PAL1;YDR348C
SNC2 CDS;0,826784481;-0,10302955;0,483010334;SNC2;YOR327C
IMO32 CDS;0,826784481;-0,123720543;0,48260888;IMO32;YGR031W
COG3 CDS;0,82745448;-0,137078048;0,483541099;COG3;YER157W
ASP3-3 CDS;0,827860406;0,10573531;0,483917728;ASP3-3;YLR158C
PRM8 CDS;0,828108854;0,111943089;0,484359763;PRM8;YGL053W
MNN11 CDS;0,828108854;0,10432912;0,484760252;MNN11;YJL183W
hypothetical protein CDS;0,828108854;-0,105625521;0,484701554;;YML119W
hypothetical protein CDS;0,828108854;-0,124667183;0,484374989;;YPR013C
MRP21 CDS;0,828108854;-0,145490587;0,484735259;MRP21;YBL090W
hypothetical protein CDS;0,828244097;0,135101158;0,486832614;;YBL005W-A
hypothetical protein CDS;0,828244097;0,133852638;0,485822632;;YER189W
CHS5 CDS;0,828244097;0,113796562;0,486112403;CHS5;YLR330W
MNN2 CDS;0,828244097;0,113443339;0,486469816;MNN2;YBR015C
ROM2 CDS;0,828244097;0,112737808;0,486691554;ROM2;YLR371W
LAC1 CDS;0,828244097;0,112107051;0,486949032;LAC1;YKL008C
CDC26 CDS;0,828244097;0,109858304;0,486439996;CDC26;YFR036W
SDS22 CDS;0,828244097;0,109728839;0,485512951;SDS22;YKL193C
NPR2 CDS;0,828244097;-0,105874772;0,486802226;NPR2;YEL062W
NOP6 CDS;0,828244097;-0,111864955;0,486193024;NOP6;YDL213C
STF1 CDS;0,828244097;-0,11457978;0,485322118;STF1;YDL130W-A
hypothetical protein CDS;0,828244097;-0,114669579;0,485792657;;YEL043W
MSD1 CDS;0,828244097;-0,115607327;0,486852007;MSD1;YPL104W
QDR3 CDS;0,828244097;-0,11757857;0,487071133;QDR3;YBR043C
YDC1 CDS;0,828244097;-0,121502403;0,486487956;YDC1;YPL087W
MET14 CDS;0,828244097;-0,143230117;0,486947607;MET14;YKL001C
hypothetical protein CDS;0,828822957;-0,101361986;0,487969865;;YKL077W
SSK1 CDS;0,828822957;-0,116285742;0,487900307;SSK1;YLR006C
AME1 CDS;0,828822957;-0,129648825;0,48796059;AME1;YBR211C
MRPL36 CDS;0,828822957;-0,130124823;0,487793802;MRPL36;YBR122C
hypothetical protein CDS;0,82885973;-0,151369985;0,488131101;;YCR016W
GIR2 CDS;0,829508471;0,103431734;0,488663615;GIR2;YDR152W
SSH1 CDS;0,829508471;-0,105814899;0,488792546;SSH1;YBR283C
PEX15 CDS;0,829574251;-0,125870848;0,488971014;PEX15;YOL044W
MSS18 CDS;0,830817138;0,119947995;0,490123347;MSS18;YPR134W
NUP1 CDS;0,830817138;0,11711849;0,490022763;NUP1;YOR098C
OKP1 CDS;0,830817138;-0,104948627;0,490026472;OKP1;YGR179C
BOS1 CDS;0,830850964;0,10350647;0,490283223;BOS1;YLR078C
DFG16 CDS;0,831698859;0,124976014;0,493767692;DFG16;YOR030W
KIP2 CDS;0,831698859;0,124815279;0,493565809;KIP2;YPL155C
hypothetical protein CDS;0,831698859;0,12225776;0,491576211;;YLR297W
FUB1 CDS;0,831698859;0,112919233;0,493386659;FUB1;YCR076C
HAP5 CDS;0,831698859;0,112497902;0,491835543;HAP5;YOR358W
SEC24 CDS;0,831698859;0,110950521;0,49234285;SEC24;YIL109C
SED5 CDS;0,831698859;0,110690615;0,491493633;SED5;YLR026C
MTC3 CDS;0,831698859;0,109239347;0,49219786;MTC3;YGL226W
NHP10 CDS;0,831698859;0,10824055;0,492397515;NHP10;YDL002C
GTB1 CDS;0,831698859;0,10607818;0,492966983;GTB1;YDR221W
BMS1 CDS;0,831698859;0,10537037;0,49368778;BMS1;YPL217C
TDA9 CDS;0,831698859;-0,101831811;0,493078708;TDA9;YML081W
COX15 CDS;0,831698859;-0,10364684;0,493061487;COX15;YER141W
PHO12 CDS;0,831698859;-0,103914114;0,491731485;PHO12;YHR215W
SPA2 CDS;0,831698859;-0,104297418;0,494208833;SPA2;YLL021W
hypothetical protein CDS;0,831698859;-0,106679266;0,493612605;;YLR253W
hypothetical protein CDS;0,831698859;-0,109105282;0,494033303;;YLL007C
DRS2 CDS;0,831698859;-0,109258319;0,491237171;DRS2;YAL026C
APE4 CDS;0,831698859;-0,109789269;0,492638052;APE4;YHR113W
MUB1 CDS;0,831698859;-0,114321641;0,492909234;MUB1;YMR100W
PHB1 CDS;0,831698859;-0,119504244;0,494145138;PHB1;YGR132C
GSP2 CDS;0,831698859;-0,123341857;0,494232824;GSP2;YOR185C
BCY1 CDS;0,831698859;-0,1251606;0,493228763;BCY1;YIL033C
STB2 CDS;0,831698859;-0,134141115;0,492254194;STB2;YMR053C
hypothetical protein CDS;0,831698859;-0,13508831;0,494285159;;YPL264C
hypothetical protein CDS;0,832759089;0,169363892;0,495309285;;YCR108C
UAF30 CDS;0,832759089;0,110332313;0,495897996;UAF30;YOR295W
SEN2 CDS;0,832759089;0,109917462;0,496037201;SEN2;YLR105C
CPR1 CDS;0,832759089;0,108824632;0,495801273;CPR1;YDR155C
PHO11 CDS;0,832759089;-0,103165796;0,495394397;PHO11;YAR071W
YAP7 CDS;0,832759089;-0,113224249;0,495811129;YAP7;YOL028C
TDA1 CDS;0,832759089;-0,116838597;0,495742309;TDA1;YMR291W
hypothetical protein CDS;0,832759089;-0,121470963;0,495488689;;YBL059W
CDC16 CDS;0,833169068;0,115582934;0,496633028;CDC16;YKL022C
AOS1 CDS;0,833169068;0,106234229;0,496702341;AOS1;YPR180W
APE2 CDS;0,833169068;-0,10177897;0,496554588;APE2;YKL157W
hypothetical protein CDS;0,833390726;0,106549599;0,497115182;;YDR109C
DJP1 CDS;0,833390726;0,10024958;0,497094073;DJP1;YIR004W
putative asparagine synthase CDS;0,833405634;-0,104555593;0,497264426;;YML096W
CSM4 CDS;0,833884999;0,115899834;0,497983107;CSM4;YPL200W
TRM2 CDS;0,833884999;0,103738668;0,498129589;TRM2;YKR056W
MTC6 CDS;0,833884999;0,102142566;0,498104316;MTC6;YHR151C
ALG6 CDS;0,833884999;-0,099721776;0,498059686;ALG6;YOR002W
TIP1 CDS;0,833884999;-0,104313607;0,498252606;TIP1;YBR067C
CDC42 CDS;0,83390523;-0,106458471;0,49840513;CDC42;YLR229C
SRP54 CDS;0,834768127;0,101982628;0,499061443;SRP54;YPR088C
PEX10 CDS;0,834820331;0,102118816;0,499233243;PEX10;YDR265W
GAL83 CDS;0,834979185;0,112908779;0,499619679;GAL83;YER027C
LYS20 CDS;0,834979185;0,111596055;0,499709492;LYS20;YDL182W
MRPL3 CDS;0,834979185;-0,119586745;0,499750398;MRPL3;YMR024W
GOT1 CDS;0,834979185;-0,123601497;0,499890704;GOT1;YMR292W
ATG1 CDS;0,835146888;0,137190547;0,500327829;ATG1;YGL180W
ARR3 CDS;0,835146888;0,127091402;0,500512271;ARR3;YPR201W
FMO1 CDS;0,835146888;-0,103247384;0,500553684;FMO1;YHR176W
EMI5 CDS;0,835146888;-0,108600775;0,500377438;EMI5;YOL071W
YFH7 CDS;0,835725018;-0,130138391;0,501040933;YFH7;YFR007W
HIR2 CDS;0,835956662;-0,099792208;0,501320591;HIR2;YOR038C
ARV1 CDS;0,836440388;0,127479442;0,502107521;ARV1;YLR242C
RSC1 CDS;0,836440388;0,11218579;0,50217413;RSC1;YGR056W
DCN1 CDS;0,836440388;0,105726051;0,502064423;DCN1;YLR128W
PCD1 CDS;0,836440388;-0,10277673;0,501976454;PCD1;YLR151C
hypothetical protein CDS;0,836443684;-0,101586178;0,502316972;;YNL193W
hypothetical protein CDS;0,83668944;0,119340458;0,503450887;;YFL068W
IKI3 CDS;0,83668944;0,098089159;0,502906621;IKI3;YLR384C
hypothetical protein CDS;0,83668944;0,097800831;0,503446824;;YBR255C-A
AAD14 CDS;0,83668944;-0,105356448;0,502987739;AAD14;YNL331C
ENT2 CDS;0,83668944;-0,112439008;0,50341308;ENT2;YLR206W
RRP8 CDS;0,83668944;-0,113666012;0,502661761;RRP8;YDR083W
hypothetical protein CDS;0,83668944;-0,117181281;0,503071795;;YOR289W
PKH3 CDS;0,837059233;-0,122517782;0,503814365;PKH3;YDR466W
YMD8 CDS;0,837568096;-0,110830371;0,504261695;YMD8;YML038C
RPD3 CDS;0,838391202;0,099504616;0,50489844;RPD3;YNL330C
IES1 CDS;0,838577636;-0,100227571;0,505151937;IES1;YFL013C
TFC3 CDS;0,838635041;0,111600367;0,505327749;TFC3;YAL001C
SDP1 CDS;0,839099739;0,109062497;0,50596292;SDP1;YIL113W
VTC3 CDS;0,839099739;0,103088406;0,506129258;VTC3;YPL019C
SPT6 CDS;0,839099739;-0,098918555;0,506032911;SPT6;YGR116W
WBP1 CDS;0,839099739;-0,100865727;0,506172998;WBP1;YEL002C
YGK3 CDS;0,839353699;0,107622916;0,506608901;YGK3;YOL128C
RPP1 CDS;0,839353699;-0,111579649;0,506477448;RPP1;YHR062C
ELP2 CDS;0,83961237;-0,107372762;0,506906424;ELP2;YGR200C
PAU1 CDS;0,840200594;0,162438394;0,507544549;PAU1;YJL223C
LST7 CDS;0,840200594;-0,125902559;0,507433415;LST7;YGR057C
hypothetical protein CDS;0,840461865;-0,105856317;0,507843916;;YMR027W
BST1 CDS;0,841058138;-0,119045396;0,50834585;BST1;YFL025C
UBA4 CDS;0,841170927;0,10173118;0,508697339;UBA4;YHR111W
IRC6 CDS;0,841170927;-0,101327806;0,508688039;IRC6;YFR043C
IOC2 CDS;0,842058061;0,113300892;0,509416405;IOC2;YLR095C
MCH1 CDS;0,842058061;0,112276877;0,509674994;MCH1;YDL054C
CHS3 CDS;0,842058061;-0,098737236;0,509728068;CHS3;YBR023C
RMD5 CDS;0,842058061;-0,113648918;0,509801066;RMD5;YDR255C
NQM1 CDS;0,842424089;0,139314024;0,513711288;NQM1;YGR043C
SEC31 CDS;0,842424089;0,123199674;0,510898389;SEC31;YDL195W
YTA7 CDS;0,842424089;0,112343574;0,512136967;YTA7;YGR270W
IXR1 CDS;0,842424089;0,112313565;0,513678077;IXR1;YKL032C
MNR2 CDS;0,842424089;0,107013848;0,510797398;MNR2;YKL064W
FDH1 CDS;0,842424089;0,102925636;0,51110067;FDH1;YOR388C
hypothetical protein CDS;0,842424089;0,100850007;0,51195171;;YMR185W
TLG2 CDS;0,842424089;0,100243939;0,51169409;TLG2;YOL018C
RRT14 CDS;0,842424089;-0,098140571;0,51121421;RRT14;YIL127C
UBP1 CDS;0,842424089;-0,099177052;0,513136408;UBP1;YDL122W
IOC3 CDS;0,842424089;-0,100913452;0,510702821;IOC3;YFR013W
SAM37 CDS;0,842424089;-0,103633187;0,513678085;SAM37;YMR060C
RSC8 CDS;0,842424089;-0,107723185;0,512132883;RSC8;YFR037C
MRP20 CDS;0,842424089;-0,108799989;0,511082058;MRP20;YDR405W
HMG1 CDS;0,842424089;-0,11025846;0,513534265;HMG1;YML075C
GLO4 CDS;0,842424089;-0,110534828;0,513172604;GLO4;YOR040W
SOK1 CDS;0,842424089;-0,112000159;0,512657167;SOK1;YDR006C
ATM1 CDS;0,842424089;-0,112122822;0,512834726;ATM1;YMR301C
GLO2 CDS;0,842424089;-0,112834987;0,511691444;GLO2;YDR272W
SYP1 CDS;0,842424089;-0,116500282;0,513208074;SYP1;YCR030C
RLP7 CDS;0,842424089;-0,118437851;0,512518901;RLP7;YNL002C
BLM10 CDS;0,842424089;-0,121684228;0,512945163;BLM10;YFL007W
PTH2 CDS;0,842424089;-0,125167405;0,513178948;PTH2;YBL057C
SOL1 CDS;0,842424089;-0,125760125;0,513042984;SOL1;YNR034W
MSS116 CDS;0,842424089;-0,126067714;0,512967509;MSS116;YDR194C
hypothetical protein CDS;0,842815085;0,129215517;0,514536795;;YLR154C-H
hypothetical protein CDS;0,842815085;0,114484135;0,514689859;;YPR204W
TUB3 CDS;0,842815085;0,114061395;0,515511012;TUB3;YML124C
STE3 CDS;0,842815085;0,107961628;0,514980923;STE3;YKL178C
PSO2 CDS;0,842815085;-0,096530863;0,515133008;PSO2;YMR137C
UPS1 CDS;0,842815085;-0,098706739;0,515317868;UPS1;YLR193C
TRM112 CDS;0,842815085;-0,100865654;0,515429704;TRM112;YNR046W
MSH3 CDS;0,842815085;-0,103455886;0,515279619;MSH3;YCR092C
MSA1 CDS;0,842815085;-0,113280711;0,515455959;MSA1;YOR066W
PER1 CDS;0,842815085;-0,117745946;0,514660795;PER1;YCR044C
SCM3 CDS;0,842815085;-0,123661645;0,51448;SCM3;YDL139C
PAU15 CDS;0,843061386;0,166111781;0,516087595;PAU15;YIR041W
LAS17 CDS;0,843061386;0,133522323;0,515815299;LAS17;YOR181W
CDC6 CDS;0,843061386;0,105007518;0,515949384;CDC6;YJL194W
ESS1 CDS;0,843229536;0,103554074;0,516724232;ESS1;YJR017C
AGE2 CDS;0,843229536;0,100493072;0,516704349;AGE2;YIL044C
CDC11 CDS;0,843229536;0,095940096;0,516758552;CDC11;YJR076C
hypothetical protein CDS;0,843229536;-0,144526637;0,51647623;;YOR008C-A
RAP1 CDS;0,843371329;0,11139506;0,517582005;RAP1;YNL216W
RRG9 CDS;0,843371329;0,102427146;0,517621386;RRG9;YNL213C
SNZ2 CDS;0,843371329;0,10073525;0,518123713;SNZ2;YNL333W
NET1 CDS;0,843371329;-0,096656567;0,517253773;NET1;YJL076W
THI6 CDS;0,843371329;-0,096878192;0,51731695;THI6;YPL214C
BMH2 CDS;0,843371329;-0,10055359;0,517769448;BMH2;YDR099W
RBD2 CDS;0,843371329;-0,107335173;0,517465148;RBD2;YPL246C
GSM1 CDS;0,843371329;-0,108671509;0,517973956;GSM1;YJL103C
GLG2 CDS;0,843371329;-0,129399539;0,518006993;GLG2;YJL137C
CMD1 CDS;0,843530226;-0,095157116;0,5186475;CMD1;YBR109C
PRO2 CDS;0,843530226;-0,097586703;0,518379253;PRO2;YOR323C
SAC6 CDS;0,843530226;-0,102096833;0,518530886;SAC6;YDR129C
HOP2 CDS;0,844172811;0,132079401;0,519326925;HOP2;YGL033W
SLM3 CDS;0,844172811;0,0993129;0,519270255;SLM3;YDL033C
PGD1 CDS;0,844193729;0,108689564;0,519481961;PGD1;YGL025C
RPN3 CDS;0,844623559;-0,099691171;0,519888701;RPN3;YER021W
HRT3 CDS;0,844715539;0,102192991;0,52041471;HRT3;YLR097C
RAD23 CDS;0,844715539;-0,104366422;0,520291131;RAD23;YEL037C
ELC1 CDS;0,844715539;-0,107264757;0,520656597;ELC1;YPL046C
MRS3 CDS;0,844715539;-0,11886389;0,520278103;MRS3;YJL133W
CCE1 CDS;0,844715539;-0,144212794;0,520557267;CCE1;YKL011C
RRT6 CDS;0,844828546;-0,102406802;0,521010801;RRT6;YGL146C
hypothetical protein CDS;0,844828546;-0,137751683;0,520952303;;YDR194W-A
HPT1 CDS;0,845102131;0,118529919;0,521651934;HPT1;YDR399W
TRP3 CDS;0,845102131;0,103126689;0,522175769;TRP3;YKL211C
TEL2 CDS;0,845102131;0,097801705;0,521631293;TEL2;YGR099W
ZTA1 CDS;0,845102131;-0,103007788;0,52214788;ZTA1;YBR046C
ALA1 CDS;0,845102131;-0,105440814;0,522009959;ALA1;YOR335C
DYS1 CDS;0,845102131;-0,108127555;0,521600461;DYS1;YHR068W
FLC1 CDS;0,845102131;-0,131929263;0,521795849;FLC1;YPL221W
POA1 CDS;0,845635636;0,117715922;0,523217468;POA1;YBR022W
hypothetical protein CDS;0,845635636;0,11494532;0,52298154;;YGL114W
SNZ3 CDS;0,845635636;0,106831969;0,523053279;SNZ3;YFL059W
KTR4 CDS;0,845635636;0,09712911;0,523216762;KTR4;YBR199W
STB1 CDS;0,845635636;-0,107024246;0,522714039;STB1;YNL309W
CCT8 CDS;0,845931383;-0,10032412;0,523542915;CCT8;YJL008C
SWC5 CDS;0,846124071;-0,102652198;0,523804662;SWC5;YBR231C
hypothetical protein CDS;0,846152497;0,162250549;0,523964758;;YAL065C
